sta      PGA_Z   PGA_X   PGA_Y   PGA_3D  PGA_H  triID        evtID
5AF48    1.98    0.73    0.61    2.20    0.95   1667291429   1667291412       20221101083011
5AE3E    2.98    1.15    0.96    3.34    1.50   1663471491   1663471478       20220918032437
5AE3E    2.98    1.15    0.96    3.34    1.50   1663471491   1663471478       20220918032438
5AF8A    2.80    2.50    2.49    4.50    3.52   1665429902   1665429882       20221010192442
5AFA8    1.47    0.58    0.72    1.74    0.93   1657281474   1657281468       20220708115748
5AE29    2.40    1.18    1.56    3.10    1.96   1668470840   1668470820       20221115000700
5AE29    1.37    0.74    0.70    1.71    1.02   1667291429   1667291412       20221101083011
5AE82    2.05    0.92    2.42    3.30    2.59   1665429902   1665429882       20221010192442
5AE06    1.42    1.53    1.01    2.32    1.83   1666971057   1666971044       20221028153043
5AE83    1.73    8.82    5.90   10.75   10.61   1663478422   1663478360       20220918051919
5AE9A    1.68    2.88    2.58    4.22    3.87   1663553315   1663553266       20220919020745
8DD9B    3.43    0.52    0.74    3.55    0.90   1663327861   1663327852       20220916113052
5AF0F    1.97    7.41    7.11   10.46   10.27   1663422146   1663422080       20220917134119
5AE29    1.25    0.66    0.71    1.59    0.97   1666971054   1666971044       20221028153043
5AEE6    3.98    0.98    0.79    4.18    1.26   1668908992   1668908982       20221120014941
5AF1E    2.76    0.64    0.67    2.91    0.92   1665429902   1665429882       20221010192442
5AEC4    2.04   10.01    8.40   13.23   13.07   1663478424   1663478360       20220918051919
5AE3E    5.68    1.57    1.27    6.03    2.02   1655377264   1655377256       20220616110055
5AFE5    3.35    0.90    1.11    3.65    1.43   1663471491   1663471478       20220918032437
5AFE5    3.35    0.90    1.11    3.65    1.43   1663471491   1663471478       20220918032438
5AE90    1.93    1.18    0.72    2.37    1.38   1669484300   1669484284       20221126173804
5AE11    3.25    4.74    3.36    6.65    5.81   1666971063   1666971044       20221028153043
5AF0F    3.95    0.88    0.82    4.13    1.20   1663471491   1663471478       20220918032437
5AF0F    3.95    0.88    0.82    4.13    1.20   1663471491   1663471478       20220918032438
5AE49    1.26    0.63    0.64    1.55    0.89   1666971057   1666971044       20221028153043
5AF1E    1.46    0.63    0.64    1.71    0.89   1663327861   1663327852       20220916113052
5AE4E    2.02    5.07    6.90    8.80    8.57   1663422144   1663422080       20220917134119
5B00B    2.01    0.76    0.86    2.31    1.14   1662526249   1662526244       20220907045043
5AEBA    1.10    1.33    0.72    1.87    1.51   1667291429   1667291412       20221101083011
5AF30   12.42    2.15    1.52   12.70    2.63   1663553167   1663553266       20220919020745
5AF0F    2.81    0.60    0.68    2.95    0.91   1668908972   1668908982       20221120014941
5AFE5    1.44    0.61    0.66    1.70    0.90   1666971054   1666971044       20221028153043
5AEE6    6.15    1.31    2.81    6.89    3.10   1662526249   1662526244       20220907045043
5AE90    1.93    1.18    0.72    2.37    1.38   1669484300   1669484284       20221126173804
5AF1E    2.30    1.71    1.62    3.29    2.36   1670432110   1670432068       20221207165428
5AE0A    1.47    0.57    0.67    1.71    0.88   1666971054   1666971044       20221028153043
5AFE5    1.38    0.62    0.65    1.65    0.90   1657764543   1657764618       20220714021018
5AF30    3.59    0.69    0.75    3.73    1.01   1665429902   1665429882       20221010192442
5AE90    1.33    1.23    0.99    2.07    1.58   1670432084   1670432068       20221207165428
5AE98    1.07    0.70    1.03    1.64    1.25   1663478395   1663478360       20220918051919
5AF48    2.23    0.79    0.69    2.47    1.05   1655377266   1655377256       20220616110055
5AE99    1.55    1.69    2.01    3.04    2.62   1657281480   1657281468       20220708115748
5B018    1.86    0.84    0.86    2.21    1.20   1666971057   1666971044       20221028153043
5AEE6    1.39    0.63    0.79    1.71    1.00   1670301286   1670301306       20221206043506
5AE90    1.33    1.23    0.99    2.07    1.58   1670432084   1670432068       20221207165428
5AF30    5.21    0.77    0.85    5.33    1.15   1668908992   1668908982       20221120014941
5AF1E    1.69    0.58    0.68    1.91    0.89   1660908295   1660908356       20220819112556
5AE83    2.74    2.27    2.16    4.16    3.14   1663483493   1663483456       20220918064415
